"fleet_segment";"Month";"PRODUCTION";"Unit"
"PGP_VL0612";"107";"610";"kg"
"PGP_VL0612";"108";"1793";"kg"
"PGP_VL0612";"109";"2013";"kg"
"PGP_VL0612";"110";"392";"kg"
"PGP_VL0612";"111";"749";"kg"
"PGP_VL0612";"112";"2772";"kg"
"PGP_VL0612";"113";"186";"kg"
"PGP_VL0612";"114";"632";"kg"
"PGP_VL0612";"115";"496";"kg"
"PGP_VL0612";"116";"2776";"kg"
"PGP_VL0612";"117";"1590";"kg"
"PGP_VL0612";"118";"1322";"kg"
"PGP_VL0612";"119";"703";"kg"
"PGP_VL0612";"120";"3712";"kg"
"PGP_VL0612";"121";"1071";"kg"
"PGP_VL0612";"122";"1783";"kg"
"PGP_VL0612";"123";"748";"kg"
"PGP_VL0612";"124";"801";"kg"
"PGP_VL0612";"125";"22";"kg"
"PGP_VL0612";"126";"222";"kg"
"PGP_VL0612";"127";"2299";"kg"
"PGP_VL0612";"128";"3571";"kg"
"PGP_VL0612";"129";"993";"kg"
"PGP_VL0612";"130";"1887";"kg"
"PGP_VL0612";"131";"500";"kg"
"PGP_VL0612";"132";"2573";"kg"
"PGP_VL0612";"133";"1071";"kg"
"PGP_VL0612";"134";"1783";"kg"
"PGP_VL0612";"135";"748";"kg"
"PGP_VL0612";"136";"801";"kg"
"PGP_VL0612";"137";"22";"kg"
"PGP_VL0612";"138";"222";"kg"
"PGP_VL0612";"139";"2299";"kg"
"PGP_VL0612";"140";"3571";"kg"
"PGP_VL0612";"141";"993";"kg"
"PGP_VL0612";"142";"1887";"kg"
"PGP_VL0612";"143";"500";"kg"
"PGP_VL0612";"144";"2573";"kg"
"PGP_VL0612";"145";"1071";"kg"
"PGP_VL0612";"146";"1783";"kg"
"PGP_VL0612";"147";"748";"kg"
"PGP_VL0612";"148";"801";"kg"
"PGP_VL0612";"149";"22";"kg"
"PGP_VL0612";"150";"222";"kg"
"PGP_VL0612";"151";"2299";"kg"
"PGP_VL0612";"152";"3571";"kg"
"PGP_VL0612";"153";"993";"kg"
"PGP_VL0612";"154";"1887";"kg"
"PGP_VL0612";"155";"500";"kg"
"PGP_VL0612";"156";"2573";"kg"
