"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"PGP_VL0006";"130";"472";"12";"3.030578536"
"PGP_VL0006";"131";"472";"8";"3.030578536"
"PGP_VL0006";"132";"472";"9";"3.030578536"
"PGP_VL0006";"133";"472";"3";"3.030578536"
"PGP_VL0006";"134";"472";"6";"3.030578536"
"PGP_VL0006";"135";"472";"11";"3.030578536"
"PGP_VL0006";"136";"472";"14";"3.030578536"
"PGP_VL0006";"137";"472";"14";"3.030578536"
"PGP_VL0006";"138";"472";"15";"3.030578536"
"PGP_VL0006";"139";"472";"17";"3.030578536"
"PGP_VL0006";"140";"472";"14";"3.030578536"
"PGP_VL0006";"141";"472";"13";"3.030578536"
"PGP_VL0006";"142";"472";"12";"3.030578536"
"PGP_VL0006";"143";"472";"8";"3.030578536"
"PGP_VL0006";"144";"472";"9";"3.030578536"
"PGP_VL0006";"145";"472";"3";"3.030578536"
"PGP_VL0006";"146";"472";"6";"3.030578536"
"PGP_VL0006";"147";"472";"11";"3.030578536"
"PGP_VL0006";"148";"472";"14";"3.030578536"
"PGP_VL0006";"149";"472";"14";"3.030578536"
"PGP_VL0006";"150";"472";"15";"3.030578536"
"PGP_VL0006";"151";"472";"17";"3.030578536"
"PGP_VL0006";"152";"472";"14";"3.030578536"
"PGP_VL0006";"153";"472";"13";"3.030578536"
"PGP_VL0006";"154";"472";"12";"3.030578536"
"PGP_VL0006";"155";"472";"8";"3.030578536"
"PGP_VL0006";"156";"472";"9";"3.030578536"
"PGP_VL0612";"0";"1320";"7";"4.275471698"
"PGP_VL0612";"1";"1320";"7";"4.275471698"
"PGP_VL0612";"2";"1320";"10";"4.275471698"
"PGP_VL0612";"3";"1320";"9";"4.275471698"
"PGP_VL0612";"4";"1320";"12";"4.275471698"
"PGP_VL0612";"5";"1320";"14";"4.275471698"
"PGP_VL0612";"6";"1320";"12";"4.275471698"
"PGP_VL0612";"7";"1320";"19";"4.275471698"
"PGP_VL0612";"8";"1320";"16";"4.275471698"
"PGP_VL0612";"9";"1320";"15";"4.275471698"
"PGP_VL0612";"10";"1320";"13";"4.275471698"
"PGP_VL0612";"11";"1320";"5";"4.275471698"
"PGP_VL0612";"12";"1320";"4";"4.275471698"
"PGP_VL0612";"13";"1320";"7";"4.275471698"
"PGP_VL0612";"14";"1320";"10";"4.275471698"
"PGP_VL0612";"15";"1320";"9";"4.275471698"
"PGP_VL0612";"16";"1320";"12";"4.275471698"
"PGP_VL0612";"17";"1320";"14";"4.275471698"
"PGP_VL0612";"18";"1320";"12";"4.275471698"
"PGP_VL0612";"19";"1320";"19";"4.275471698"
"PGP_VL0612";"20";"1320";"16";"4.275471698"
"PGP_VL0612";"21";"1320";"15";"4.275471698"
"PGP_VL0612";"22";"1320";"13";"4.275471698"
"PGP_VL0612";"23";"1320";"5";"4.275471698"
"PGP_VL0612";"24";"1320";"4";"4.275471698"
"PGP_VL0612";"25";"1320";"7";"4.275471698"
"PGP_VL0612";"26";"1320";"10";"4.275471698"
"PGP_VL0612";"27";"1320";"9";"4.275471698"
"PGP_VL0612";"28";"1320";"12";"4.275471698"
"PGP_VL0612";"29";"1320";"14";"4.275471698"
"PGP_VL0612";"30";"1320";"12";"4.275471698"
"PGP_VL0612";"31";"1320";"19";"4.275471698"
"PGP_VL0612";"32";"1320";"16";"4.275471698"
"PGP_VL0612";"33";"1320";"15";"4.275471698"
"PGP_VL0612";"34";"1320";"13";"4.275471698"
"PGP_VL0612";"35";"1320";"5";"4.275471698"
"PGP_VL0612";"36";"1320";"4";"4.275471698"
"PGP_VL0612";"37";"1325";"4";"4.254887218"
"PGP_VL0612";"38";"1325";"6";"4.254887218"
"PGP_VL0612";"39";"1325";"10";"4.254887218"
"PGP_VL0612";"40";"1325";"13";"4.254887218"
"PGP_VL0612";"41";"1325";"16";"4.254887218"
"PGP_VL0612";"42";"1325";"17";"4.254887218"
"PGP_VL0612";"43";"1325";"18";"4.254887218"
"PGP_VL0612";"44";"1325";"12";"4.254887218"
"PGP_VL0612";"45";"1325";"12";"4.254887218"
"PGP_VL0612";"46";"1325";"7";"4.254887218"
"PGP_VL0612";"47";"1325";"7";"4.254887218"
"PGP_VL0612";"48";"1325";"4";"4.254887218"
"PGP_VL0612";"49";"1357";"3";"4.25256975"
"PGP_VL0612";"50";"1357";"7";"4.25256975"
